;Palabra;Sentimiento;Valoracion;Stemmed
480;derramar;Triste;-1;derram
481;derrota;Triste;-1;derrot
482;derrumbarse;Triste;-1;derrumb
483;desabrido;Triste;-1;desabr
484;desabrigado;Triste;-1;desabrig
485;Desaconsejar;Triste;-1;desaconsej
486;desacreditado;Triste;-1;desacredit
487;desacuerdo;Triste;-1;desacuerd
488;desafecto;Triste;-1;desafect
489;desafortunado;Triste;-1;desafortun
490;desagradable;Triste;-1;desagrad
491;desagrado;Triste;-1;desagr
492;desahogado;Feliz;1;desahog
493;desahuciado;Triste;-1;desahuci
494;desairado;Triste;-1;desair
495;desalentado;Triste;-1;desalent
496;desaliento;Triste;-1;desalient
497;desamor;Triste;-1;desamor
498;desamparado;Triste;-1;desampar
499;desangrar;Triste;-1;desangr
500;desanimado;Triste;-1;desanim
501;desapacible;Triste;-1;desapac
502;desaparición;Triste;-1;desaparicion
503;desarmado;Triste;-1;desarm
504;desarrollado;Feliz;1;desarroll
505;desasistencia;Triste;-1;desasistent
506;desasistido;Triste;-1;desasist
507;desasosegado;Triste;-1;desasoseg
508;desasosiego;Triste;-1;desasosieg
509;desastre;Triste;-1;desastr
510;desatención;Triste;-1;desatencion
511;desatender;Triste;-1;desatend
512;desavenencia;Triste;-1;desavenent
